"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A1242347","Semi Detached (Half Duplex)","Signal Hill","01/04/2023","$479,900.00","$470,000.00","1,291","34 Sierra Morena Green SW","Calgary","1993","119","Wanda Hutton","CHUTTOWA","","Albert Mah","CMAHAL","CPROFENI","CAL Zone W"
"501","S","A1239440","Semi Detached (Half Duplex)","","01/08/2023","$492,000.00","$470,000.00","1,485","135 Creekstone Drive","Calgary","2022","178","Nick Salmon","CSALMONI2","","Non Board Member","CNONMEMB","",""
"501","S","A2013574","Row/Townhouse","Seton","01/05/2023","$469,900.00","$469,900.00","1,295","20537 Main Street SE","Calgary","2021","38","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Ray Laprairie","CLAPRARA","","CAL Zone SE"
"501","S","A2014471","Detached","Nolan Hill","01/13/2023","$499,900.00","$469,700.00","1,260","11 Nolanlake Cove NW","Calgary","2015","36","Aslam Khan","CKHANAS","","Lindsay Jacobsen","CJACOBLI1","","CAL Zone N"
"501","S","A2015999","Detached","McKenzie Towne","01/16/2023","$479,900.00","$469,000.00","1,053","52 Elgin View SE","Calgary","2006","25","Sam Patel","CPATELSA1","CKINSMDA","Dana Kinsman","CKINSMDA","","CAL Zone SE"
"501","S","A2016505","Detached","Huntington Hills","01/07/2023","$449,900.00","$468,500.00","1,134","7127 8 Street NW","Calgary","1968","9","Ian Quinn","CQUINNIA","CBONNEAL","Mark Evernden","CEVERNMA","","CAL Zone N"
"501","S","A2018771","Detached","Oakridge","01/16/2023","$425,000.00","$467,000.00","1,177","9932 Oakridge Road SW","Calgary","1973","3","Sam Corea","CCOREASA","CFULLECH","Natalie Mitchell","CBORYSNA","","CAL Zone S"
"501","S","A2018093","Semi Detached (Half Duplex)","Auburn Bay","01/14/2023","$467,000.00","$467,000.00","1,127","495 Auburn Bay Avenue SE","Calgary","2013","5","Erick Dillmann","CDILLMER","","Danielle Rourke","CROURKDA","","CAL Zone SE"
"501","S","A2005763","Detached","Bankview","01/19/2023","$484,900.00","$466,500.00","805","2514 16A Street SW","Calgary","1912","99","Greg Wiseman","CWISEMGR","","Merritt Ranseth","CRANSEME","","CAL Zone CC"
"501","S","A2015656","Detached","Castleridge","01/26/2023","$449,900.00","$466,000.00","1,018","220 Castlebrook Road NE","Calgary","1981","8","Tarek Hageahmad","CHAGEATA","CELHAGIB","Amit Punn","CPUNNAM","","CAL Zone NE"
"501","S","A2017947","Detached","Coventry Hills","01/18/2023","$459,000.00","$465,000.00","908","193 Covehaven  View NE","Calgary","2002","7","Jack Molyneux","CMOLYNJO","","Rohit Verma","CVERMARO","","CAL Zone N"
"501","S","A2014614","Detached","Falconridge","01/09/2023","$479,000.00","$465,000.00","1,040","6023 68 Street NE","Calgary","1981","34","Ashish Bhardwaj","CBHARDAS","","Jaswinder Singh","CSINGHJA2","","CAL Zone NE"
"501","S","A2010321","Row/Townhouse","Legacy","01/13/2023","$474,900.00","$465,000.00","1,351","370 Legacy Village Way SE","Calgary","2015","71","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Ravinder Saini","CSAINIRA1","","CAL Zone S"
"501","S","A2006779","Apartment","Beltline","01/29/2023","$449,900.00","$465,000.00","903","901 10 Avenue SW Unit#2306","Calgary","2016","93","Heather Mudd","CMUDDHE","","Glenn Herring","CHERRIGL","","CAL Zone CC"
"501","S","A2016581","Detached","Fairview","01/25/2023","$479,900.00","$464,000.00","1,002","37 Farnham Drive SE","Calgary","1960","26","Aleksey Julanov","CJULANAL","","Donna Williams","CWILLIDO","","CAL Zone S"
"501","S","A2014919","Detached","Temple","01/16/2023","$470,000.00","$461,110.00","1,286","92 Templegreen Road NE","Calgary","1979","36","Barb Desautels","CDESAUBA","","Frozan Liaqat","CLIAQAFR","","CAL Zone NE"
"501","S","A2014741","Semi Detached (Half Duplex)","Walden","01/31/2023","$445,000.00","$461,088.00","1,105","1347 Walden Drive SE","Calgary","2017","54","Lawrence Barnett","CBARNELA","","Marvin Uy","CUYMA","","CAL Zone S"
"501","S","A2015165","Detached","Cranston","01/16/2023","$460,000.00","$461,000.00","856","125 Cramond Close SE","Calgary","2001","36","Doug McNaughton","CMCNAUDO","","Alex Jens","CJENSAL","","CAL Zone SE"
