"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"2001","S","A2026361","Apartment","Kincora","03/01/2023","$273,000.00","$270,000.00","688","20 Kincora Glen Park NW Unit#403","Calgary","2015","12","Nicoleta Kallo","CKALLONI","","Taeju Lee","CLEETA","","CAL Zone N"
"2001","S","A2026160","Row/Townhouse","Dover","03/09/2023","$275,000.00","$270,000.00","1,000","4769 Hubalta Road SE Unit#39","Calgary","1979","20","Kayla Hagen","CMCNABKA","","Thuy Dinh","CDINHTH","","CAL Zone E"
"2001","S","A2024980","Apartment","Kincora","03/10/2023","$275,000.00","$270,000.00","770","20 Kincora Glen Park NW Unit#512","Calgary","2016","18","Gloria Sun","CSUNWE","","Jaskaran Sekhon","CSEKHOJA2","CSEKHOJA2","CAL Zone N"
"2001","S","A2010848","Apartment","Beltline","03/03/2023","$289,000.00","$270,000.00","1,411","923 15 Avenue SW Unit#110","Calgary","1998","116","Nazia Harris","CHARRINA","","Luis Benavides","CBENAVLU","","CAL Zone CC"
"2001","S","A2033692","Apartment","Beltline","03/30/2023","$269,900.00","$269,900.00","693","210 15 Avenue SE Unit#1009","Calgary","2009","6","Simon Hunt","CHUNTSI","","Justin Havre","CHAVREJU","CSCHUMRY","CAL Zone CC"
"2001","S","A2024349","Apartment","Crescent Heights","03/03/2023","$269,900.00","$269,900.00","746","209 6 Avenue NE Unit#401","Calgary","1968","21","Brad Chapman","CCHAPMBR","","Alex Duval","CDUVALAL","","CAL Zone CC"
"2001","S","A2032793","Apartment","Copperfield","03/30/2023","$269,000.00","$269,000.00","764","99 Copperstone Park SE Unit#3102","Calgary","2017","12","Kenneth Chan","CCHANKE1","CLIMI","Peter Pasion","CPASIOPE","","CAL Zone SE"
"2001","S","A2027694","Apartment","Skyview Ranch","03/31/2023","$274,900.00","$269,000.00","900","181 Skyview Ranch Manor NE Unit#2111","Calgary","2017","35","Anni Jansson","CJANSSAN","","Andy Bhalla","CBHALLAN","","CAL Zone NE"
"2001","S","A2028303","Apartment","Panorama Hills","03/26/2023","$274,900.00","$268,600.00","806","22 Panatella Road NW Unit#304","Calgary","2011","24","Tamara Nellissen","CNELLITA","CJAGULNI","Adam Chaykowski","CCHAYKAD","","CAL Zone N"
"2001","S","A2031623","Apartment","Panorama Hills","03/31/2023","$270,000.00","$268,500.00","875","70 Panamount Drive NW Unit#9220","Calgary","2005","14","Jesse Davies","CDAVIEJE","","Raymond Yang","CYANGZH1","","CAL Zone N"
"2001","S","A2032000","Apartment","Beltline","03/24/2023","$268,500.00","$268,000.00","882","1334 14 Avenue SW Unit#801","Calgary","1979","8","Heather Cleveland","CCLEVEHE","","Monique Anderson","CANDERMO","CHAVREJU","CAL Zone CC"
"2001","S","A2031592","Row/Townhouse","Thorncliffe","03/23/2023","$259,900.00","$268,000.00","884","6440 4 Street NW Unit#12","Calgary","1969","10","Brittney MacMillan","CMACMIBR","CMACMIKE","Cynthia Chee","CCHEECY","","CAL Zone N"
"2001","S","A2032893","Apartment","Beltline","03/27/2023","$265,000.00","$267,500.00","622","817 15 Avenue SW Unit#506","Calgary","2009","10","Sarah Gray","CGRAYSA","","Ricardo Serrano Toledo","CSERRARI","","CAL Zone CC"
"2001","S","A2024145","Apartment","Crescent Heights","03/18/2023","$270,000.00","$267,000.00","984","417 3 Avenue NE Unit#201","Calgary","2003","38","Abby Everingham","CEVERIAB","","Jaskaran Sekhon","CSEKHOJA2","","CAL Zone CC"
"2001","S","A1258800","Apartment","Legacy","03/05/2023","$264,900.00","$266,900.00","763","81 Legacy Boulevard SE Unit#1316","Calgary","2016","21","Tokunbo Davidson","CDAVIDOL","","Marnie Campbell","CCAMPBMA1","","CAL Zone S"
"2001","S","A2032529","Apartment","Seton","03/30/2023","$269,900.00","$266,500.00","577","19621 40 Street SE Unit#403","Calgary","2018","13","Barry Klatt","CKLATTBA","CCULHACY","Justin Shin","CSHINKU","","CAL Zone SE"
"2001","S","A2028672","Row/Townhouse","Oakridge","03/17/2023","$235,000.00","$266,500.00","971","2520 Palliser Drive SW Unit#506","Calgary","1976","15","Natalie Berthiaume","CBERTHNA","","Brent Krahn","CKRAHNBR","","CAL Zone S"
"2001","S","A2032683","Apartment","Copperfield","03/28/2023","$269,900.00","$266,000.00","805","279 Copperpond Common SE Unit#4308","Calgary","2012","8","Jill Conroy","CCONROJI","CLESLIWA","Jay Tung","CTUNGYI","","CAL Zone SE"
"2001","S","A2030017","Apartment","Beddington Heights","03/17/2023","$242,000.00","$266,000.00","891","8200 4 Street NE Unit#316","Calgary","2007","8","David Scott","CSCOTTDA1","CFRENCKE","Jillaine Carlin","CCARLIJI","","CAL Zone N"
"2001","S","A2032401","Apartment","Skyview Ranch","03/23/2023","$260,000.00","$265,000.00","812","302 SKYVIEW RANCH Drive NE Unit#4313","Calgary","2016","8","Pankush Gupta","CGUPTAPA","CSHARMSU3","Vasu Sharma","CSHARMVA1","","CAL Zone NE"
"2001","S","A2031946","Row/Townhouse","Falconridge","03/21/2023","$249,000.00","$265,000.00","992","63 Falshire Terrace NE","Calgary","1982","1","Tracy Gibbs","CGIBBSTR","","Clarissa Morales","CMORALCL","","CAL Zone NE"
"2001","S","A2031321","Apartment","Cornerstone","03/24/2023","$269,900.00","$265,000.00","703","76 Cornerstone Passage NE Unit#1209","Calgary","2019","11","Gina Arienzale","CARIENGI","","Apramjot Singh","CSINGHAP","","CAL Zone NE"
"2001","S","A2030073","Row/Townhouse","Thorncliffe","03/17/2023","$259,900.00","$265,000.00","1,111","8 Blackthorn Bay NE Unit#104","Calgary","1975","11","Mark Wang","CWANGJI","","Regina Moje","CMOJEMA","","CAL Zone N"
"2001","S","A2029760","Row/Townhouse","Thorncliffe","03/22/2023","$260,000.00","$265,000.00","1,029","6440 4 Street NW Unit#46","Calgary","1969","12","Sylvia Castonguay","CCASTOSY","","Wendy Do","CDOWE","","CAL Zone N"
"2001","S","A2028186","Row/Townhouse","Thorncliffe","03/06/2023","$249,900.00","$265,000.00","1,025","6440 4 Street NW Unit#21","Calgary","1969","3","Robert Vanovermeire","CVANOVRO","","Tina Tian","CTIANLI","","CAL Zone N"
"2001","S","A2026838","Apartment","Mahogany","03/23/2023","$269,900.00","$265,000.00","618","10 Mahogany Mews SE Unit#409","Calgary","2017","29","Sunny Banipal","CBANIPSU","CBANIPGU","Satnam Sidhu","CSIDHUSA5","CJAGDEGA","CAL Zone SE"
"2001","S","A2026083","Apartment","Beltline","03/17/2023","$269,900.00","$265,000.00","1,022","923 15 Avenue SW Unit#308","Calgary","1998","16","Ashley McKay","CMCKAYAS","CDEVALCA","Cole La Valley","CLAVALCO","","CAL Zone CC"
"2001","S","A2025883","Apartment","Mission","03/21/2023","$265,000.00","$265,000.00","495","323 20 Avenue SW Unit#220","Calgary","2013","21","Kevin Bamford","CBAMFOKE","","Sandra Castro","CCASTRSA","","CAL Zone CC"
"2001","S","A2025347","Apartment","Country Hills Village","03/01/2023","$249,900.00","$265,000.00","837","31 Country Village Manor NE Unit#4115","Calgary","2010","15","Ken Nguyen","CNGUYEAN2","","Sam Abereoje","CABEREGB","","CAL Zone N"
"2001","S","A2024830","Apartment","Panorama Hills","03/03/2023","$269,900.00","$265,000.00","949","60 Panatella Street NW Unit#2404","Calgary","2008","21","Ricky Ahuja","CAHUJARA","","Pammi Brar","CBRARPA","","CAL Zone N"
"2001","S","A2024284","Apartment","Spruce Cliff","03/04/2023","$265,000.00","$265,000.00","570","24 Hemlock Crescent SW Unit#3202","Calgary","2006","11","Jodi Flodstedt","CFLODSJO","","Gabor David","CDAVIDGA1","","CAL Zone W"
"2001","S","A2021858","Apartment","Kincora","03/09/2023","$268,000.00","$265,000.00","704","20 Kincora Glen Park NW Unit#506","Calgary","2017","39","Yu Xiang Shi","CSHIYU","","David Weber","CWEBERDA","CGREENGR","CAL Zone N"
"2001","S","A2021654","Row/Townhouse","Canyon Meadows","03/06/2023","$250,000.00","$265,000.00","822","999 Canyon Meadows Drive SW Unit#163","Calgary","1976","22","Justin Havre","CHAVREJU","CMACDORY","Josh Nelson","CNELSOJO","","CAL Zone S"
"2001","S","A2020034","Apartment","Hawkwood","03/03/2023","$262,500.00","$265,000.00","1,135","1000 Hawksbrow Point NW Unit#1209","Calgary","1995","38","Len Mastaler","CMASTALE","","Roz Alibhai","CALIBHRO","","CAL Zone NW"
"2001","S","A2016283","Apartment","Sage Hill","03/01/2023","$275,000.00","$265,000.00","788","8 Sage Hill Terrace NW Unit#210","Calgary","2015","56","Abby Everingham","CEVERIAB","","Amy Caughlin","CCAUGHAM","","CAL Zone N"
"2001","S","A2001699","Apartment","Renfrew","03/03/2023","$269,900.00","$265,000.00","590","707 4 Street NE Unit#105","Calgary","2013","164","Johanne Robichaud","CROBICJO","","Johanne Robichaud","CROBICJO","","CAL Zone CC"
"2001","S","A2025616","Apartment","Skyview Ranch","03/08/2023","$274,900.00","$263,500.00","767","4641 128 Avenue NE Unit##3321","Calgary","2020","21","Mohammad Maqsood","CMAQSOMO","","Olufolami Olupitan","COLUPIOL","","CAL Zone NE"
"2001","S","A2029988","Row/Townhouse","Panorama Hills","03/27/2023","$259,999.00","$262,500.00","893","11 Panatella Landing NW Unit#104","Calgary","2008","3","Sylvia Castonguay","CCASTOSY","","Ana Maria Yan Yan Fok","CFOKAN","","CAL Zone N"
"2001","S","A2028779","Row/Townhouse","Deer Ridge","03/23/2023","$269,900.00","$262,500.00","1,053","140 Deer Ridge Lane SE","Calgary","1981","22","Michelle Primeau","CPRIMEMI","","Stirling Karlsen","CKARLSST","","CAL Zone S"
"2001","S","A2027893","Apartment","Beltline","03/13/2023","$265,000.00","$262,500.00","525","1320 1 Street SE Unit#1001","Calgary","2014","16","Gordon Ross","CROSSGO","","Michelle Krebs","CKREBSMI","CHAVREJU","CAL Zone CC"
"2001","S","A2019913","Apartment","Brentwood","03/16/2023","$269,900.00","$262,500.00","966","3103 Blakiston Drive NW Unit#302","Calgary","1964","57","Tod Hall","CHALLTO","CMILNETA","Adam Collis","CCOLLIJO1","","CAL Zone NW"
"2001","S","A2033114","Apartment","Mission","03/24/2023","$265,000.00","$261,000.00","827","210 25th Avenue SW Unit#15","Calgary","1978","6","John Lee","CLEEJO4","","Justin Wiechnik","CWIECHJU","","CAL Zone CC"
"2001","S","A2032526","Apartment","Skyview Ranch","03/26/2023","$248,900.00","$260,000.00","821","302 Skyview Ranch Drive NE Unit#5105","Calgary","2016","10","Maria Lizotte","CLIZOTMA","","Jason Hilborn","CHILBOJA","","CAL Zone NE"
"2001","S","A2031464","Row/Townhouse","Panorama Hills","03/23/2023","$264,900.00","$260,000.00","902","161 Panatella Landing NW Unit#102","Calgary","2008","9","Rogelio Calalo","CCALALRO","","Ana Maria Yan Yan Fok","CFOKAN","","CAL Zone N"
"2001","S","A2030230","Apartment","Country Hills Village","03/24/2023","$267,500.00","$260,000.00","933","16 Country Village Bay NE Unit#409","Calgary","2003","14","Craig Rushton","CRUSHTCR","CHESKIAL","Ron O'Shea","COSHEARO","","CAL Zone N"
"2001","S","A2028919","Apartment","University Heights","03/24/2023","$270,000.00","$260,000.00","940","2011 University Drive NW Unit#302","Calgary","1991","20","Leon Wang","CWANGSH1","","Davide Gallo","CGALLODA","","CAL Zone NW"
"2001","S","A2025872","Row/Townhouse","Sage Hill","03/07/2023","$249,900.00","$260,000.00","786","250 Sage Valley Road NW Unit#311","Calgary","2013","19","Rob Whitfield","CWHITFRO","","Xing Wen Li","CLIXI1","","CAL Zone N"
"2001","S","A2024409","Apartment","Cornerstone","03/24/2023","$264,900.00","$260,000.00","670","76 Cornerstone Passage NE Unit#2205","Calgary","2020","43","Yadwinder Bhatti","CBHATTYA","CBHATTJA2","Simon Maara","CMAARASI","","CAL Zone NE"
"2001","S","A2023539","Apartment","Skyview Ranch","03/14/2023","$269,900.00","$260,000.00","755","4641 128 Avenue NE Unit#4203","Calgary","2020","35","Harminder Saini","CSAINIHA","","Romi Bagri","CBAGRIRA","","CAL Zone NE"
"2001","S","A2021458","Row/Townhouse","Cranston","03/08/2023","$270,000.00","$260,000.00","1,158","51 cranford Way SE","Calgary","2015","30","Wiktor Boraczuk","CBORACWI","","Michael Zarowny","CZAROWMI","","CAL Zone SE"
