"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2023370","Detached","Hawkwood","02/21/2023","$579,000.00","$599,000.00","2,225","125 Hawktree Circle NW","Calgary","1990","12","Bev Cuckow","CCUCKOBE","CBUZOGSA","Zenny Aslam Rana Iqbal","CASLAMZA","","CAL Zone NW"
"501","S","A2022837","Detached","Royal Oak","02/05/2023","$599,900.00","$595,000.00","1,708","18 Royal Birch Way NW","Calgary","2006","2","Jun Ho Lee","CLEEJU1","","Yu Xiang Shi","CSHIYU","","CAL Zone NW"
"501","S","A2022400","Detached","Evergreen","02/02/2023","$589,900.00","$595,000.00","2,055","12 Everwillow Park SW","Calgary","2004","2","Diana Arvatescu","CARVATDI","","Maen Shammas","CSHAMMMA","","CAL Zone S"
"501","S","A2020899","Detached","Woodbine","02/27/2023","$619,900.00","$595,000.00","2,162","52 Woodhaven Road SW","Calgary","1987","32","Danny James","CJAMESDA","CKONCH","Gary Spivak","CSPIVAGA","","CAL Zone S"
"501","S","A2020740","Semi Detached (Half Duplex)","Midnapore","02/08/2023","$599,900.00","$595,000.00","1,677","860 Midridge Drive SE Unit#815","Calgary","1978","14","Dave Rose","CROSEDA","","Kevin Caldwell","CCALDWKE","","CAL Zone S"
"501","S","A2018553","Detached","Tuscany","02/16/2023","$609,900.00","$595,000.00","1,950","69 Tuscany Ravine Crescent NW","Calgary","2003","35","Jessica Chan","CCHANJE1","","Ruokun Zhou","CZHOURU","","CAL Zone NW"
"501","S","A2016410","Detached","Mahogany","02/17/2023","$599,900.00","$595,000.00","1,730","110 Marquis Heights SE","Calgary","2016","54","Luis Benavides","CBENAVLU","","Matthew Reiser","CREISEMA","","CAL Zone SE"
"501","S","A2018159","Detached","Tuscany","02/05/2023","$609,900.00","$594,900.00","1,787","90 Tuscany Springs Hill NW","Calgary","2005","19","Zul Haji","CHAJIZU","","Clarence Kim","CKIMCL","","CAL Zone NW"
"501","S","A2023241","Row/Townhouse","Killarney/Glengarry","02/17/2023","$599,900.00","$594,200.00","1,354","1929 36 Street SW Unit#2","Calgary","2019","10","Mary-Lou McCormick","CMCCORMA1","","Tamara Stearns","CPILIPTA","","CAL Zone CC"
"501","S","A2017449","Row/Townhouse","West Hillhurst","02/11/2023","$608,000.00","$594,000.00","1,280","2427 2 Avenue NW Unit#1","Calgary","2011","37","Eldon Slingerland","CSLINGEL","","Muhammad Rashid","CRASHIMU","","CAL Zone CC"
"501","S","A2004658","Row/Townhouse","South Calgary","02/03/2023","$598,000.00","$593,888.00","1,378","2820 17 Street SW","Calgary","2022","120","Stella Tsang","CTSANGST","","Michael Newton","CNEWTOMI","","CAL Zone CC"
