"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"1","S","A2058218","Detached","Lakeview","07/04/2023","$1,850,000.00","$1,850,000.00","1,988","2716 Lougheed Drive SW","Calgary","2023","18","Imo Manji","CMANJIIM","CWEINEDA","Cliff Stevenson","CSTEVECL","","CAL Zone W"
"1","S","A2057841","Apartment","Beltline","07/06/2023","$1,950,000.00","$1,825,000.00","1,957","930 16 Avenue SW Unit#3301","Calgary","2019","18","Kevin Yeung","CYEUNGKE2","CYEUNGWI1","Kevin Yeung","CYEUNGKE2","","CAL Zone CC"
"1","S","A2060253","Detached","Lake Bonavista","07/13/2023","$1,850,000.00","$1,810,000.00","3,114","804 Lake Emerald Place SE","Calgary","1969","20","Casey Roe","CROECA","","Peter Chapman","CCHAPMPE","","CAL Zone S"
"1","S","A2065445","Detached","Richmond","07/20/2023","$1,799,900.00","$1,799,900.00","2,671","2217 25 Street SW","Calgary","2021","4","Allen Jovica","CJOVICAL","","Allen Jovica","CJOVICAL","","CAL Zone CC"
"1","S","A2048351","Detached","Lake Bonavista","07/21/2023","$1,950,000.00","$1,735,000.00","3,826","12104 Lake Waterton Way SE","Calgary","2021","66","Jamie Newton","CNEWTOJA","","Shifa Chaudhary","CCHAUDSH1","","CAL Zone S"
"1","S","A2064856","Detached","Glenbrook","07/18/2023","$1,625,000.00","$1,700,000.00","3,015","4835 Graham Drive SW","Calgary","2011","4","Julie Clark","CCLARKJU","","Maria Shettler","CSHETTMA","","CAL Zone W"
"1","S","A2058091","Detached","Hillhurst","07/07/2023","$1,699,000.00","$1,680,000.00","3,283","632 16A Street NW","Calgary","2012","22","Susan Harrigan","CHARRIMA","CMACMIBR","Amie Hautz","CHAUTZAM","","CAL Zone CC"
"1","S","A2067044","Detached","Altadore","07/31/2023","$1,679,000.00","$1,665,000.00","2,741","3822 15A Street SW","Calgary","2014","12","Tanya Eklund","CEKLUNTA","","Josh Hamilton","CHAMILJO","","CAL Zone CC"
"1","S","A2058624","Apartment","Eau Claire","07/14/2023","$1,750,000.00","$1,649,000.00","2,000","690 Princeton Way SW Unit#1301","Calgary","2002","24","John McNeill","CMCNEIJO","","Lori Dahlberg","CDAHLBLO","","CAL Zone CC"
"1","S","A2060206","Detached","Cranston","07/26/2023","$1,699,900.00","$1,640,000.00","3,499","116 Cranbrook View SE","Calgary","2013","26","Cynthia Culhane","CCULHACY","CKLATTBA","Donna Delaney","CDELANDO","","CAL Zone SE"
