"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2084952","Detached","Cambrian Heights","10/12/2023","$629,900.00","$620,000.00","1,065","26 Cadogan Road NW","Calgary","1956","9","Jessica Chan","CCHANJE1","","Tao Jiang","CJIANGTA","","CAL Zone CC"
"501","S","A2084530","Detached","Renfrew","10/29/2023","$649,900.00","$620,000.00","1,018","922 8 Avenue NE","Calgary","1947","24","Rob Whitfield","CWHITFRO","","Narinderjit Nijjar","CNIJJANA","","CAL Zone CC"
"501","S","A2084451","Detached","Midnapore","10/04/2023","$589,900.00","$620,000.00","1,110","100 Midland Crescent SE","Calgary","1980","5","Greg Wiseman","CWISEMGR","","Chris Ford","CFORDCH","","CAL Zone S"
"501","S","A2083358","Detached","Coach Hill","10/23/2023","$650,000.00","$620,000.00","1,222","743 Coach Bluff Crescent SW","Calgary","1977","27","Bryon Howard","CHOWARBR","CMOBERJU","Cheryle Becker","CBECKECH1","","CAL Zone W"
"501","S","A2082825","Detached","Harvest Hills","10/05/2023","$625,000.00","$620,000.00","1,706","20 Harvest Glen Mews NE","Calgary","1994","13","Vince Degiuseppe","CDEGIUVI","","Jeffery Rombough","CROMBOJE","","CAL Zone N"
"501","S","A2081603","Detached","Hawkwood","10/15/2023","$630,000.00","$620,000.00","1,848","56 Hawkwood Place NW","Calgary","1980","23","Joshua Sevrens","CSEVREJO","","Ganna Fedorinova","CFEDORGA","","CAL Zone NW"
"501","S","A2079870","Detached","Wolf Willow","10/02/2023","$635,000.00","$620,000.00","1,828","26 WOLF CREEK Rise SE","Calgary","2023","21","Gagan Sharma","CSHARMGA2","CUBHIUP","Ryan Gillard","CGILLARY","","CAL Zone S"
"501","S","A2078630","Detached","McKenzie Towne","10/31/2023","$620,000.00","$620,000.00","1,936","203 Prestwick Mews SE","Calgary","2002","40","Jad Chawl-Snan","CCHAWLJA","","Adinda Adityani","CADITYAD","","CAL Zone SE"
"501","S","A2067690","Detached","North Glenmore Park","10/06/2023","$699,900.00","$620,000.00","1,605","128 Langton Drive SW","Calgary","1977","69","Mark Jette","CJETTEMA","","Riley Makkar","CKUMARRA1","","CAL Zone W"
"501","S","A2087288","Apartment","Beltline","10/27/2023","$619,900.00","$619,900.00","1,329","1117 1 Street SW Unit#106","Calgary","1911","15","Perri Scarcelli","CSCARCPE","","Don Onda","CONDADO","","CAL Zone CC"
"501","S","A2067928","Detached","Rangeview","10/11/2023","$619,900.00","$619,900.00","1,598","25 Lavender Passage SE","Calgary","2022","80","Michael Laprairie","CLAPRAMI","CSTEWAAL1","Kelly L. Macdonald","CMACDOKE1","","CAL Zone SE"
