"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2095257","Detached","McKenzie Towne","12/23/2023","$510,000.00","$498,000.00","1,220","102 Prestwick Circle SE","Calgary","1999","26","Peter Pasion","CPASIOPE","","Jason Ngo","CNGODA1","","CAL Zone SE"
"501","S","A2083717","Detached","Forest Heights","12/14/2023","$495,999.00","$496,500.00","1,039","5206 Forego Avenue SE","Calgary","1967","50","Ahmed Marshall","CMARSHAH","CHAMILJO","Deesh Sadiaora","CSADIALO","","CAL Zone E"
"501","S","A2098136","Detached","Falconridge","12/24/2023","$495,000.00","$495,000.00","837","91 Falwood Way NE","Calgary","1979","7","King Siu","CSIUKI","","Shekhar Kaushal","CKAUSHSH","","CAL Zone NE"
"501","S","A2097513","Semi Detached (Half Duplex)","Auburn Bay","12/25/2023","$499,900.00","$495,000.00","1,020","568 Auburn Bay Avenue SE","Calgary","2013","13","Rebecca Yarmoloy","CMORGARE","CYARMONE","Karan Kannure","CKANNUKA","","CAL Zone SE"
"501","S","A2096949","Detached","Coventry Hills","12/29/2023","$485,000.00","$495,000.00","905","95 Coventry Road NE","Calgary","2000","22","Jeffrey Tincher","CTINCHJE","CMCCALBR","Jacky Cheung","CCHEUNHO1","","CAL Zone N"
"501","S","A2095529","Detached","Martindale","12/06/2023","$529,000.00","$495,000.00","1,043","133 Martinglen Way NE","Calgary","1991","8","Gary Singh","CSINGHGU3","","Gary Singh","CSINGHGU3","","CAL Zone NE"
"501","S","A2095391","Row/Townhouse","Belvedere","12/22/2023","$500,000.00","$495,000.00","1,480","8535 19 Avenue SE Unit#122","Calgary","2023","24","Linden Lister","CLISTELI","","Kunwar Singh","CSINGHKU1","",""
"501","S","A2092392","Apartment","Mahogany","12/23/2023","$500,000.00","$495,000.00","780","122 Mahogany Centre SE Unit#312","Calgary","2018","43","Zorka Domazet","CDOMAZZO","","Zorka Domazet","CDOMAZZO","","CAL Zone SE"
"501","S","A2087493","Detached","Winston Heights/Mountview","12/12/2023","$515,000.00","$495,000.00","812","426 32 Avenue NE","Calgary","1955","60","Arshdeep Deol","CDEOLAR","","Arshdeep Deol","CDEOLAR","","CAL Zone CC"
"501","S","A2094206","Detached","Penbrooke Meadows","12/29/2023","$499,900.00","$494,000.00","989","6632 PENBROOKE Drive SE","Calgary","1973","37","Ali Kassem Amery","CAMERYAL","","Linh Ho","CHOMY","CCHHABSA","CAL Zone E"
"501","S","A2094578","Detached","Martindale","12/06/2023","$485,000.00","$490,500.00","960","337 Martinwood Place NE","Calgary","1991","13","Cory Lomsnes","CLOMSNCO","","Thomas Kelly","CKELLYTH1","","CAL Zone NE"
"501","S","A2098546","Detached","Marlborough","12/30/2023","$399,800.00","$490,000.00","1,135","1427 Mardale Drive NE","Calgary","1972","7","Joy Peacock","CCRAWFJO2","","Deesh Sadiaora","CSADIALO","","CAL Zone NE"
