"#","St","ML #","Property Sub Type","Subdivision Name","Close Date","List Price","Close Price","RMS Total","Address","City","Year Built","DOM","List Agent Full Name","List Agent Mls Id","Co List Agent Mls Id","Buyer Agent Full Name","Buyer Agent Mls Id","Co Buyer Agent Mls Id","District"
"501","S","A2059822","Detached","Palliser","08/04/2023","$569,900.00","$553,000.00","1,280","9608 24 Street SW","Calgary","1968","43","Lauren Kammer","CKAMMELA","CMAYHEJE","Jackie Hutchinson","CHUTCHJA1","","CAL Zone S"
"501","S","A2055689","Detached","Falconridge","08/15/2023","$559,900.00","$553,000.00","1,076","119 FALLSWATER Road NE","Calgary","1979","68","Sandeep Dhaliwal","CDHALISA2","","Aman Gill","CGILLAM3","","CAL Zone NE"
"501","S","A2067522","Detached","Douglasdale/Glen","08/08/2023","$549,900.00","$551,000.00","1,488","3733 Douglas Ridge Way SE","Calgary","1997","17","Heather Davis","CDAVISHE","","Dave Rose","CROSEDA","","CAL Zone SE"
"501","S","A2071624","Detached","Silverado","08/18/2023","$529,000.00","$550,500.00","1,366","110 Silverado Plains Circle SW","Calgary","2010","9","Peng Wu","CWUPE1","","Harry Lapidus","CLAPIDHA","","CAL Zone S"
"501","S","A2072530","Semi Detached (Half Duplex)","Bridlewood","08/20/2023","$529,900.00","$550,100.00","1,710","202 Bridlerange Place SW","Calgary","2009","10","Graeme Affleck","CAFFLEGR","","Diane Payne","CPAYNEDI","","CAL Zone S"
"501","S","A2073625","Semi Detached (Half Duplex)","Auburn Bay","08/22/2023","$499,999.00","$550,000.00","1,348","90 Autumn Green SE","Calgary","2009","6","Paul Brennand","CBRENNPA","","April DeJong","CDEJONAP","","CAL Zone SE"
"501","S","A2072690","Apartment","McKenzie Towne","08/16/2023","$524,900.00","$550,000.00","1,591","48 Inverness Gate SE Unit#1114","Calgary","2005","5","Neil Lauzon","CLAUZONE","","Chris Reid","CREIDCH1","","CAL Zone SE"
"501","S","A2072053","Detached","Huntington Hills","08/14/2023","$510,000.00","$550,000.00","1,134","7027 Huntbourne Green NE","Calgary","1970","3","Eric Dennis","CDENNIER","","Amir Halilovic","CHALILAM","","CAL Zone N"
"501","S","A2072014","Detached","Somerset","08/18/2023","$550,000.00","$550,000.00","1,252","378 Somerside Park SW","Calgary","1997","9","Dallace Pugh","CPUGHDA","","Rachel Windsor","CWINDSRA","","CAL Zone S"
"501","S","A2070230","Semi Detached (Half Duplex)","Forest Lawn","08/18/2023","$549,900.00","$550,000.00","1,602","1138 39 Street SE","Calgary","2017","14","Thuy Dinh","CDINHTH","","Joy Peacock","CCRAWFJO2","","CAL Zone E"
"501","S","A2069955","Detached","Pineridge","08/09/2023","$574,999.00","$550,000.00","1,505","147 Pinegrove Close NE","Calgary","1975","9","Michael Ilie-Haynes","CILIESE","","Zack Afridi","CAFRIDZI","","CAL Zone NE"
"501","S","A2068969","Detached","Silver Springs","08/15/2023","$535,000.00","$550,000.00","1,349","6267 Silver Springs Hill NW","Calgary","1972","5","Tarryn Hamilton","CLAMBTA","CREISEMA","Richard Zywotkiewicz","CZYWOTRI","","CAL Zone NW"
"501","S","A2068662","Semi Detached (Half Duplex)","Spruce Cliff","08/03/2023","$549,900.00","$550,000.00","1,152","621B 37 Street SW","Calgary","1979","8","Richard Tantzen","CTANTZRI","","Michele Swiggum","CSWIGGMI","","CAL Zone W"
"501","S","A2066562","Semi Detached (Half Duplex)","Redstone","08/13/2023","$564,900.00","$550,000.00","1,619","613 Redstone Drive NE","Calgary","2021","27","Jatinder Singh","CSINGHJA6","","Jazz Singh","CSINGHJA9","","CAL Zone NE"
"501","S","A2065289","Detached","Evanston","08/01/2023","$549,900.00","$550,000.00","1,228","40 Evansridge Close NW","Calgary","2012","14","Angela Detmold","CDETMOAN","CDETMOKI","Susan Gronberg","CGRONBSU","","CAL Zone N"
"501","S","A2065078","Semi Detached (Half Duplex)","Tuscany","08/05/2023","$575,000.00","$550,000.00","1,737","131 Tuscany Springs Landing NW","Calgary","2004","24","Kim Vink","CVINKKI","","Sharon Murphy","CMURPHSH","","CAL Zone NW"
"501","S","A2064345","Detached","Bridlewood","08/02/2023","$559,900.00","$550,000.00","1,508","314 Bridleridge Way SW","Calgary","2004","24","Darya Pfund","CAPFUNDDA","","Fanrong Zeng","CZENGFA","","CAL Zone S"
"501","S","A2062295","Detached","Woodlands","08/04/2023","$549,900.00","$550,000.00","1,578","2320 Woodview Drive SW","Calgary","1981","24","Dave Bryant","CBRYANDA2","","Victoria Dalgleish","CDALGLVI","","CAL Zone S"
"501","S","A2059415","Detached","Coral Springs","08/09/2023","$549,998.00","$550,000.00","1,408","212 Coral Springs Close NE","Calgary","1997","50","Angel Godson-Onumejor","CGODSOAN","","GS Mann","CMANNGU","CDANDYRA","CAL Zone NE"
"501","S","A2057262","Row/Townhouse","South Calgary","08/18/2023","$565,000.00","$550,000.00","1,231","2717 17 Street SW Unit#207","Calgary","2016","47","Florenzo Civitarese","CCIVITFL","","Lara Kirk Underhill","CKIRKULA","","CAL Zone CC"
"501","S","A2049330","Detached","South Calgary","08/12/2023","$585,000.00","$550,000.00","795","1513 27 Avenue SW","Calgary","1912","85","Patrick Murray","CMURRAPA","","Patrick Murray","CMURRAPA","","CAL Zone CC"
"501","S","A2071404","Detached","Millrise","08/22/2023","$549,900.00","$549,900.00","1,202","123 millside Drive SW","Calgary","1986","18","Kevin Baldwin","CBALDWKE","","Jacqueline Ulch","CULCHJA","","CAL Zone S"
"501","S","A2063139","Semi Detached (Half Duplex)","Strathcona Park","08/01/2023","$525,000.00","$549,500.00","1,666","39 Strathlea Common SW Unit#77","Calgary","2004","11","Sergey Korostensky","CKOROSSE","CPERRIJO","PatiJoe Hui","CHUIPA","","CAL Zone W"
"501","S","A2069016","Detached","Somerset","08/01/2023","$500,000.00","$549,250.00","1,445","166 Somerside Grove SW","Calgary","1999","5","Jennifer McIntosh","CMCINTJE","COSTBYJA","Sohini Ruparell","CRUPARSO","","CAL Zone S"
"501","S","A2062263","Detached","New Brighton","08/11/2023","$549,000.00","$549,000.00","1,519","112 New Brighton Grove SE","Calgary","2013","41","Baljinder Dhillon","CDHILLBA","CSIDHUKH","Ajay Veer Singh","CVEERSAJ","","CAL Zone SE"
"501","S","A2055729","Detached","Cedarbrae","08/11/2023","$550,000.00","$549,000.00","1,092","60 Cedardale Rise SW","Calgary","1980","23","Dusko Sremac","CSREMADU","CGLORIMI","Andy Bukovski","CBUKOVAN","","CAL Zone S"
"501","S","A2048824","Row/Townhouse","Rosscarrock","08/10/2023","$560,000.00","$548,000.00","1,227","4015 8 Avenue SW","Calgary","2018","87","Byron Wellmann","CWELLMBY","CMILNTTY","Jean-Sebastien Morency","CMORENJE","","CAL Zone W"
"501","S","A2071738","Semi Detached (Half Duplex)","Capitol Hill","08/15/2023","$529,900.00","$547,000.00","1,075","2506 16A Street NW","Calgary","1976","5","Tatiana Chalamova","CCHALATA","","Michael McCafferty","CMCCAFMI","","CAL Zone CC"
"501","S","A2070607","Detached","McKenzie Towne","08/18/2023","$550,000.00","$547,000.00","1,997","103 Elgin Terrace SE","Calgary","2007","16","Grayson Magnus","CMAGNUGR","","Jim Henheffer","CHENHEJI","","CAL Zone SE"
"501","S","A2069993","Semi Detached (Half Duplex)","Legacy","08/04/2023","$539,900.00","$547,000.00","1,454","239 Legacy Mews SE","Calgary","2014","2","Hui Jillain","CJINHU","","Alexandre Sazanovitch","CSAZANAL","","CAL Zone S"
"501","S","A2070697","Detached","Country Hills","08/05/2023","$525,000.00","$546,000.00","1,496","2103 Country Hills Circle NW","Calgary","1998","3","Olivia Bohdan","CBOHDAOL","","Nilesh Kotadiya","CKOTADNI","","CAL Zone N"
